                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.60643,                0.37155,                 1.0256,                0.98541,                 0.9871,                0.99389,                0.80393,                0.83783,                0.41036,                 1.2509,              0.0006635,              0.0006635,              0.0006635
                    138,                0.59719,                0.37343,                   1.03,                0.99067,                 0.9871,                0.99437,                0.81274,                0.80008,                0.40094,                 1.2364,              0.0006536,              0.0006536,              0.0006536
                    139,                0.60311,                0.37756,                 1.0357,                0.98839,                0.98065,                0.99432,                0.81215,                 0.8062,                0.39119,                 1.2475,              0.0006437,              0.0006437,              0.0006437
                    140,                0.59712,                0.36127,                 1.0191,                0.99233,                0.99355,                0.99474,                0.80992,                0.78496,                0.39104,                 1.2437,              0.0006338,              0.0006338,              0.0006338
                    141,                0.56663,                0.35666,                 1.0061,                0.99253,                 0.9871,                0.99306,                0.79147,                0.80304,                0.41594,                 1.2485,              0.0006239,              0.0006239,              0.0006239
                    142,                0.57889,                0.36373,                 1.0131,                0.97765,                0.97419,                0.99101,                0.78842,                0.82398,                 0.4101,                 1.2978,               0.000614,               0.000614,               0.000614
                    143,                0.60856,                0.37302,                 1.0311,                0.99193,                0.99355,                0.99487,                0.80863,                0.78787,                0.39478,                 1.1878,              0.0006041,              0.0006041,              0.0006041
                    144,                0.58646,                0.36089,                 1.0138,                0.98082,                0.98952,                0.99455,                0.80972,                0.79136,                0.39116,                 1.2437,              0.0005942,              0.0005942,              0.0005942
                    145,                 0.5901,                 0.3711,                 1.0215,                0.99808,                0.99355,                  0.995,                  0.815,                 0.7853,                 0.3825,                  1.208,              0.0005843,              0.0005843,              0.0005843
                    146,                0.59925,                0.37466,                 1.0214,                0.99222,                 0.9871,                0.99442,                0.81749,                0.76489,                0.38624,                 1.2035,              0.0005744,              0.0005744,              0.0005744
                    147,                0.57134,                0.35856,                 1.0044,                 0.9908,                0.99355,                0.99494,                0.80696,                0.78511,                0.40671,                 1.2309,              0.0005645,              0.0005645,              0.0005645
                    148,                0.57902,                0.36457,                 1.0193,                0.99854,                0.99355,                  0.995,                0.81251,                0.78038,                0.37107,                 1.2223,              0.0005546,              0.0005546,              0.0005546
                    149,                0.58302,                0.35151,                 1.0074,                0.99919,                0.99355,                  0.995,                0.81363,                0.77695,                0.37818,                 1.2014,              0.0005447,              0.0005447,              0.0005447
                    150,                0.58635,                0.35568,                 1.0147,                0.98017,                0.98065,                0.99397,                0.80573,                  0.782,                0.37657,                 1.2306,              0.0005348,              0.0005348,              0.0005348
                    151,                0.56119,                0.35072,                 1.0023,                0.98965,                0.99355,                0.99455,                0.81226,                0.77525,                0.38897,                 1.2247,              0.0005249,              0.0005249,              0.0005249
